Designator,Manufacturer,Part Number,CPN,FabLevel,DNI,Quantity,Ref-X(Mil),Ref-Y(Mil),Rotation,Layer

ANT1,,,,,DNI,1,3220,3805,0,Top
C1,Murata,GRM15551H200JZ01D,,,,1,4795,4765,90,Bottom
C2,Murata,GRM15551H200JZ01D,,,,1,5120,4720,90,Bottom
C3,Murata,GRM188R60J106ME47J,,,,1,4255,4340,0,Bottom
C4,TDK,C1005X5R1A104M050BA,,,,1,5055,4345,180,Bottom
C5,TDK,C1005X5R1A104M050BA,,,,1,4270,4475,180,Bottom
C6,TDK,C1005X5R1A104M050BA,,,,1,4770,3930,180,Bottom
C7,TDK,C1608Y5V1C105Z,,,,1,4565,4735,90,Bottom
C8,TDK,C1608Y5V1C105Z,,,,1,5085,4225,180,Bottom
C9,TDK,C1005X5R1A104M050BA,,,,1,3535,2510,180,Bottom
C10,TDK,C1005X5R1A104M050BA,,,,1,3865,2440,180,Bottom
C11,TDK,C1005X5R1A104M050BA,,,,1,3355,5680,22.5,Top
C12,TDK,C1005X5R1A104M050BA,,,,1,2335,4745.001,67.5,Top
C13,TDK,C1005X5R1A104M050BA,,,,1,2310,3350,112.5,Top
C14,TDK,C1005X5R1A104M050BA,,,,1,3260,2340,157.5,Top
C15,TDK,C1005X5R1A104M050BA,,,,1,4650,2315,202.5,Top
C16,TDK,C1005X5R1A104M050BA,,,,1,5640,3260,247.5,Top
C17,TDK,C1005X5R1A104M050BA,,,,1,4745,5650,0,Top
C18,TDK,C1005X5R1A104M050BA,,,,1,5690,4645,270,Top
C19,TDK,C1608Y5V1C105Z,,,,1,3575,3565,270,Bottom
C20,TDK,C1005X7R1C103K050BA,,,,1,2610,3615,180,Bottom
C21,Yageo,CC0402KRX7R7BB102,,,,1,2610,3650,180,Top
C22,Murata,GRM1555C1H220JZ01D,,,,1,2470,4072.599,90,Bottom
C23,TDK,C1005X5R1A104M050BA,,,,1,2555,3670,90,Bottom
C24,Yageo,GRM1555C1H220JZ01D,,,,1,2786.811,4063.189,270,Bottom
C25,AVX,04025C222JAT2A,,,,1,2825,3885.789,180,Bottom
C26,Taiyo Yuden,UVK105CH4R7JW-F,,,,1,2825,3925,180,Bottom
C27,Murata,GRM1555C1H1R5CZ01D,,,,1,2865,3805,180,Bottom
C28,TDK,C1005C0G1H010C,,,,1,2885,3750,90,Bottom
C29,Murata,GRM1555C1H330JA01D,,,,1,3480,4965,90,Bottom
C30,Murata,GRM1555C1H330JA01D,,,,1,3180,5015,270,Bottom
C31,TDK,C1005X5R1A104M050BA,,,,1,3515,4790,270,Bottom
C32,TDK,C1005X5R1A104M050BA,,,,1,2990,4725,180,Bottom
C33,TDK,C1005X5R1A104M050BA,,,,1,3460,4825,180,Bottom
C34,TDK,C1005X5R1A104M050BA,,,,1,2928,4823,0,Bottom
C35,TDK,C1608Y5V1C105Z,,,,1,3505,4450,90,Bottom
C36,TDK,C1005X5R1A104M050BA,,,,1,3288,4374,90,Bottom
C37,TDK,C1005X5R1A104M050BA,,,,1,3258,4374,90,Bottom
C38,TDK,CGA2BZX7R1C473K,,,,1,3295,4265,180,Bottom
C39,TDK,C1005X7R1C103K050BA,,,,1,3466,4369,270,Bottom
C40,TDK,C1005X7R1C103K050BA,,,,1,3129,4369,270,Bottom
C41,Taiyo Yuden,JMK107F225ZA-T,,,,1,3300,4210,0,Bottom
C42,TDK,C1608Y5V1C105Z,,,,1,2862,4750,270,Bottom
C43,Murata,GRM188R60J106ME47J,,,,1,3402,4335,180,Bottom
C44,Murata,GRM188R60J106ME47J,,,,1,3194,4336,0,Bottom
C45,TDK,C1005X5R1A104M050BA,,,,1,5155,4220,90,Bottom
C46,Taiyo Yuden,JMK107F225ZA-T,,,,1,4250,5515,270,Bottom
C47,Murata,GRM1555C1H330JA01D,,,,1,4205,2410,90,Bottom
C48,Murata,GRM1555C1H330JA01D,,,,1,4175,2410,90,Bottom
C49,TDK,C1005X5R1A104M050BA,,,,1,2985,4500,180,Bottom
D1,Lite-ON,LTW-C193TS5,,,,1,4364,2764,0,Top
D2,Lite-On,LTST-C190AKT,,,,1,4364,2604,0,Top
D3,Osram,LS Q976-NR-1,,,,1,4364,2524,0,Top
D4,Comchip Technology,CDBHM240L - HF,,,,1,3340,2650,180,Bottom
D5,Bourns,CD0603-B00340,,,,1,4450,2634,180,Bottom
D6,Bourns,CD0603-B00340,,,,1,4355,2771,0,Bottom
D7,Bourns,CD0603-B00340,,,,1,4451,2684,180,Bottom
D8,Osram,LS Q976-NR-1,,,,1,3740,2490,79.1,Top
D9,Lite-On,LTST-C191GKT,,,,1,3690,2500,79.1,Top
D10,Osram,SFH 4283-Z,,,,1,4065,4095,180,Top
D11,Osram,SFH 4283-Z,,,,1,4065,3905,0,Top
D12,Osram,SFH 4283-Z,,,,1,3935,4095,180,Top
D13,Osram,SFH 4283-Z,,,,1,3935,3905,0,Top
D14,Osram,LS Q976-NR-1,,,,1,3850,4000,90,Top
D15,Osram,LB Q39G-L2N2-35-1,,,,1,4748,2875,0,Top
D16,Osram,LB Q39G-L2N2-35-1,,,,1,4988,3045,72,Top
D17,Osram,LB Q39G-L2N2-35-1,,,,1,4897,3326,144,Top
D18,Osram,LB Q39G-L2N2-35-1,,,,1,4603,3326,216,Top
D19,Osram,LB Q39G-L2N2-35-1,,,,1,4512,3047,288,Top
D20,Panasonic,LNJ612W8WRA,,,,1,3994,2875,0,Top
D21,Panasonic,LNJ612W8WRA,,,,1,4238,3050,72,Top
